y_train;y_train_pred;y_train_pred_proba
0;0;0.9780882837532977
1;0;0.5250712829352984
1;1;0.2606765122961091
0;0;0.6502865515144456
1;1;0.3329275608701764
1;1;0.19731861749786173
0;1;0.026497262109579922
1;1;0.25221918343419947
1;1;0.48477154718399107
0;0;0.568376643641592
1;1;0.20108051616270683
0;0;0.516556340189648
1;1;0.07872657610934819
0;0;0.9506488436478636
0;0;0.85803494303085
0;0;0.9741946501277247
1;0;0.5981891638709602
1;1;0.3346190729859947
0;0;0.5351219022196743
1;1;0.3462509050000385
1;0;0.5926919966582975
0;0;0.907404882764413
0;0;0.7914794974084237
0;1;0.2614782187406711
1;1;0.11080330051962595
0;1;0.0812120802245353
1;1;0.19492011705608003
0;0;0.9174036896115267
0;0;0.5836529972245552
1;0;0.7901223120522917
0;1;0.4879386774027954
0;0;0.5221524392681289
0;0;0.8179446746737846
0;0;0.8578804408983356
0;0;0.97822372774515
0;0;0.786213311175755
0;0;0.9268258900219073
1;1;0.0504422222369556
1;1;0.30077472301104824
0;0;0.7540569342600543
1;1;0.4819221681489292
1;1;0.3018423202248983
0;0;0.9366718280478954
1;1;0.3363889599169386
0;0;0.660737107513792
1;1;0.3037157791127114
1;0;0.8689968582951635
0;0;0.6840474137948818
0;0;0.974902405317903
0;0;0.7955781636938599
1;1;0.24078394070800624
1;1;0.439711643532545
0;0;0.8682735283875106
0;0;0.7607868086989326
1;0;0.9701664493963781
1;1;0.42726052118063895
1;1;0.2507872107913368
1;0;0.7894909016424487
0;0;0.8202486582668758
1;1;0.11130393243441739
0;0;0.9298154293841737
0;1;0.4263300532586224
1;1;0.2999754389471109
0;0;0.9560576496940132
0;0;0.566820861028263
1;0;0.6144754192241308
0;0;0.6465740660263161
0;0;0.8681284564864757
1;1;0.2984443847062124
0;0;0.638685827713088
1;1;0.41627001040672873
0;0;0.9161462025782491
0;1;0.3225396741384968
0;0;0.8171781760185369
0;1;0.06861837526128434
1;1;0.16368570502581525
1;1;0.3214325754626661
1;0;0.9521063055012479
0;0;0.7933563716336989
1;1;0.13874600195587816
1;1;0.25245837163299434
1;1;0.30130825268877914
1;1;0.3010414205612041
0;0;0.857571015770599
0;0;0.8403385052688661
0;0;0.8152866892861037
1;1;0.43877483326031075
0;0;0.6771555891803551
0;1;0.026760147258276024
1;0;0.7575416905460599
0;0;0.7161875978355133
0;0;0.9158535535362712
1;1;0.05044222223967865
1;1;0.2992413331495647
1;1;0.05624137679935992
0;1;0.33631484635463227
1;1;0.2641117171424959
0;0;0.6926159673107675
0;0;0.5948326237380608
0;0;0.7905424790313048
0;0;0.8411871735867771
0;0;0.8731211586078094
1;1;0.33752194920666256
1;0;0.9057912391728113
0;0;0.8679832491082036
1;1;0.4395403282166628
0;1;0.49719841893605266
0;0;0.5411088860623936
1;1;0.33525784915750634
0;0;0.9039287374156032
0;0;0.7907523305380214
1;1;0.20026707686771472
1;1;0.16420702912882634
0;1;0.3275461699173683
1;0;0.6363420265289135
1;1;0.19591679719508182
1;0;0.6171748886572528
0;0;0.8124236271509042
0;0;0.8148898962142497
0;0;0.5354372743695288
0;1;0.26196815801038065
1;1;0.13965862299130005
1;1;0.08045849504759506
1;1;0.4004800946492053
1;1;0.46942892486398513
0;0;0.6918056339189931
1;0;0.6375147443617803
0;0;0.8183219496695954
1;1;0.28326235280603573
1;1;0.2601881370666115
1;1;0.24592260572295976
0;0;0.8671091557344361
0;0;0.8026762586428452
1;1;0.2517412577721012
1;0;0.8150956894301737
1;1;0.47385192226546535
0;0;0.6383932107442056
0;0;0.9558441078808947
0;0;0.7538217384988402
0;1;0.06289205048876156
0;0;0.7179880096451882
1;1;0.05725932670073075
0;0;0.8034782388347058
1;1;0.20047020518094338
1;1;0.29977330894800136
0;0;0.6398552649707617
1;0;0.5665095453331401
1;1;0.13799138270172506
0;0;0.822091528663927
1;1;0.3341286267683814
0;0;0.6754903851247275
0;0;0.6834991475292483
0;0;0.804078106462231
0;0;0.7929403708186769
0;0;0.6638562069072947
1;1;0.330344704369409
1;1;0.4044436223400416
1;1;0.15974870698506638
0;0;0.5994934161562642
0;0;0.7159298303834396
1;1;0.20087692481617492
1;1;0.050472593326986614
1;1;0.10980794830980423
1;1;0.32894391988813443
